NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,ANSWER_TYPE
1,0,-1,0.28468829600024037,18,4,0,0,wrong
2,0,-1,0.3573848870000802,18,4,0,0,wrong
4,1,1,0.724655868994887,20,5,0,0,answer
5,1,1,0.5156173090072116,20,5,0,-,answer
6,1,-1,1.6897221250110306,22,6,0,-,wrong
7,1,-1,1.828433654998662,20,5,1,1,wrong
8,1,-1,0.4069314850057708,18,4,0,-,wrong
9,1,1,0.8623721329931868,18,4,0,-,answer
10,1,1,0.4029505570069887,18,4,0,-,answer
11,1,-1,0.3282924069935689,20,5,1,2,wrong
12,1,-1,0.34257939099916257,18,4,1,3,wrong
13,1,-1,0.42791524199128617,18,4,0,-,wrong
14,1,-1,0.4164888680097647,18,4,0,-,wrong
